"","Participant","Sync","Frequency","AvgCorrect","AvgRT"
"1",1001,"Asynchronous","1.652 Hz",0.375,4.86921410365903
"2",1001,"Asynchronous","10.4721 Hz",0.25,4.52497688169387
"3",1001,"Asynchronous","4 Hz",0.3125,4.86921455644915
"4",1001,"Synchronous","1.652 Hz",0.25,5.26941096203518
"5",1001,"Synchronous","10.4721 Hz",0.375,5.0963458852857
"6",1001,"Synchronous","4 Hz",0.4375,4.23814887841581
"7",1002,"Asynchronous","1.652 Hz",0.375,4.45377423780883
"8",1002,"Asynchronous","10.4721 Hz",0.4375,5.16342360778071
"9",1002,"Asynchronous","4 Hz",0.4375,4.55680975389987
"10",1002,"Synchronous","1.652 Hz",0.4375,4.56624499939062
"11",1002,"Synchronous","10.4721 Hz",0.4375,4.61241855956177
"12",1002,"Synchronous","4 Hz",0.4375,4.38896804824617
"13",1003,"Asynchronous","1.652 Hz",0.625,5.20063191039935
"14",1003,"Asynchronous","10.4721 Hz",0.375,5.87807754182086
"15",1003,"Asynchronous","4 Hz",0.3125,6.08992879169545
"16",1003,"Synchronous","1.652 Hz",0.25,6.13675103785044
"17",1003,"Synchronous","10.4721 Hz",0.4375,5.30459055508436
"18",1003,"Synchronous","4 Hz",0.375,5.84166279663532
"19",1004,"Asynchronous","1.652 Hz",0.3125,6.01538884106412
"20",1004,"Asynchronous","10.4721 Hz",0.5625,6.35572326902911
"21",1004,"Asynchronous","4 Hz",0.3125,5.17391232657974
"22",1004,"Synchronous","1.652 Hz",0.3125,5.78489449118933
"23",1004,"Synchronous","10.4721 Hz",0.625,5.49040824280382
"24",1004,"Synchronous","4 Hz",0.5,5.22355291560234
"25",1005,"Asynchronous","1.652 Hz",0.5625,6.33389343121871
"26",1005,"Asynchronous","10.4721 Hz",0.375,6.45798392381767
"27",1005,"Asynchronous","4 Hz",0.25,8.43992728997
"28",1005,"Synchronous","1.652 Hz",0.4375,7.92350821845139
"29",1005,"Synchronous","10.4721 Hz",0.5625,7.2397262584409
"30",1005,"Synchronous","4 Hz",0.6875,6.0554728766856
"31",1006,"Asynchronous","1.652 Hz",0.375,5.77791013692331
"32",1006,"Asynchronous","10.4721 Hz",0.4375,6.85472029985249
"33",1006,"Asynchronous","4 Hz",0.375,6.61107032506698
"34",1006,"Synchronous","1.652 Hz",0.5625,5.36594180887914
"35",1006,"Synchronous","10.4721 Hz",0.5625,6.11728178009071
"36",1006,"Synchronous","4 Hz",0.4375,7.31992410013481
"37",1007,"Asynchronous","1.652 Hz",0.6875,5.68874535858777
"38",1007,"Asynchronous","10.4721 Hz",0.6875,5.35259471373865
"39",1007,"Asynchronous","4 Hz",0.625,5.06020445080503
"40",1007,"Synchronous","1.652 Hz",0.3125,5.91707371159282
"41",1007,"Synchronous","10.4721 Hz",0.6875,5.48849887904362
"42",1007,"Synchronous","4 Hz",0.8125,4.67163081360195
"43",1008,"Asynchronous","1.652 Hz",0.5,4.1263450650149
"44",1008,"Asynchronous","10.4721 Hz",0.625,4.58853122279106
"45",1008,"Asynchronous","4 Hz",0.5,4.86247708166047
"46",1008,"Synchronous","1.652 Hz",0.5625,3.93798194894771
"47",1008,"Synchronous","10.4721 Hz",0.375,4.6158603269505
"48",1008,"Synchronous","4 Hz",0.625,4.20882677788904
"49",1009,"Asynchronous","1.652 Hz",0.3125,4.37511457275832
"50",1009,"Asynchronous","10.4721 Hz",0.5,4.54338574236317
"51",1009,"Asynchronous","4 Hz",0.5,3.91474571297294
"52",1009,"Synchronous","1.652 Hz",0.25,4.29004239852657
"53",1009,"Synchronous","10.4721 Hz",0.3125,4.55378003720398
"54",1009,"Synchronous","4 Hz",0.4375,4.27219112028251
"55",1010,"Asynchronous","1.652 Hz",0.3125,3.81198696003412
"56",1010,"Asynchronous","10.4721 Hz",0.25,4.26125320381107
"57",1010,"Asynchronous","4 Hz",0.4375,3.86079893874557
"58",1010,"Synchronous","1.652 Hz",0.4375,3.924990929263
"59",1010,"Synchronous","10.4721 Hz",0.125,3.51582371950644
"60",1010,"Synchronous","4 Hz",0.5625,3.80949450717162
"61",1011,"Asynchronous","1.652 Hz",0.5625,4.30784183321339
"62",1011,"Asynchronous","10.4721 Hz",0.375,3.8981476792942
"63",1011,"Asynchronous","4 Hz",0.625,3.83020384104566
"64",1011,"Synchronous","1.652 Hz",0.4375,3.6738950831168
"65",1011,"Synchronous","10.4721 Hz",0.5,3.63484191939096
"66",1011,"Synchronous","4 Hz",0.6875,3.66758384620698
"67",1012,"Asynchronous","1.652 Hz",0.5625,6.66912704119023
"68",1012,"Asynchronous","10.4721 Hz",0.5,5.77643646289653
"69",1012,"Asynchronous","4 Hz",0.25,6.56387736350007
"70",1012,"Synchronous","1.652 Hz",0.5,6.64364149641187
"71",1012,"Synchronous","10.4721 Hz",0.5625,6.34538881690241
"72",1012,"Synchronous","4 Hz",0.3125,5.98015489529644
"73",1013,"Asynchronous","1.652 Hz",0.4375,3.96125336983096
"74",1013,"Asynchronous","10.4721 Hz",0.5625,4.51784039260383
"75",1013,"Asynchronous","4 Hz",0.5,3.91270743839414
"76",1013,"Synchronous","1.652 Hz",0.4375,4.86846771104683
"77",1013,"Synchronous","10.4721 Hz",0.6875,4.19816056849231
"78",1013,"Synchronous","4 Hz",0.5625,3.99253203659828
"79",1014,"Asynchronous","1.652 Hz",0.5625,5.4928870178519
"80",1014,"Asynchronous","10.4721 Hz",0.625,5.01913929271541
"81",1014,"Asynchronous","4 Hz",0.5,4.54397039738978
"82",1014,"Synchronous","1.652 Hz",0.75,5.10211391562552
"83",1014,"Synchronous","10.4721 Hz",0.8125,4.25506061470878
"84",1014,"Synchronous","4 Hz",0.6875,4.42638225353221
"85",1015,"Asynchronous","1.652 Hz",0.3125,5.40452172086953
"86",1015,"Asynchronous","10.4721 Hz",0.3125,5.80261400981544
"87",1015,"Asynchronous","4 Hz",0.1875,5.25992921202851
"88",1015,"Synchronous","1.652 Hz",0.375,5.18710664544415
"89",1015,"Synchronous","10.4721 Hz",0.3125,5.80875243482296
"90",1015,"Synchronous","4 Hz",0.375,5.27715112299484
"91",1016,"Asynchronous","1.652 Hz",0.25,9.24004748855441
"92",1016,"Asynchronous","10.4721 Hz",0.5,9.30737784464145
"93",1016,"Asynchronous","4 Hz",0.4375,8.3017771739469
"94",1016,"Synchronous","1.652 Hz",0.375,9.0762361671259
"95",1016,"Synchronous","10.4721 Hz",0.5625,7.43981383029313
"96",1016,"Synchronous","4 Hz",0.5625,10.5825536675147
"97",1017,"Asynchronous","1.652 Hz",0.1875,3.93361793965232
"98",1017,"Asynchronous","10.4721 Hz",0.625,4.23343484962606
"99",1017,"Asynchronous","4 Hz",0.25,3.86060026167252
"100",1017,"Synchronous","1.652 Hz",0.5625,3.48892977680225
"101",1017,"Synchronous","10.4721 Hz",0.1875,4.1336348208788
"102",1017,"Synchronous","4 Hz",0.1875,4.02709880779003
"103",1018,"Asynchronous","1.652 Hz",0.5,4.87897071136104
"104",1018,"Asynchronous","10.4721 Hz",0.5625,5.57013119140174
"105",1018,"Asynchronous","4 Hz",0.3125,5.3101462116756
"106",1018,"Synchronous","1.652 Hz",0.375,5.01933298916992
"107",1018,"Synchronous","10.4721 Hz",0.625,5.1221536789526
"108",1018,"Synchronous","4 Hz",0.4375,5.37091098046221
"109",1019,"Asynchronous","1.652 Hz",0.375,4.55352204565861
"110",1019,"Asynchronous","10.4721 Hz",0.4375,4.45266831725894
"111",1019,"Asynchronous","4 Hz",0.375,3.99586706058471
"112",1019,"Synchronous","1.652 Hz",0.375,4.08011881232232
"113",1019,"Synchronous","10.4721 Hz",0.375,5.19457936305844
"114",1019,"Synchronous","4 Hz",0.375,4.29094264274318
"115",1020,"Asynchronous","1.652 Hz",0.1875,4.357929186197
"116",1020,"Asynchronous","10.4721 Hz",0.375,4.68005310983426
"117",1020,"Asynchronous","4 Hz",0.375,4.47464953525196
"118",1020,"Synchronous","1.652 Hz",0.5,4.78875279932254
"119",1020,"Synchronous","10.4721 Hz",0.3125,5.03801697162998
"120",1020,"Synchronous","4 Hz",0.375,3.92487226257799
"121",1021,"Asynchronous","1.652 Hz",0.4375,4.3298997223319
"122",1021,"Asynchronous","10.4721 Hz",0.5,4.37829763169429
"123",1021,"Asynchronous","4 Hz",0.4375,4.93774750208104
"124",1021,"Synchronous","1.652 Hz",0.375,4.41994887859619
"125",1021,"Synchronous","10.4721 Hz",0.5625,3.847107955502
"126",1021,"Synchronous","4 Hz",0.6875,5.35023383179214
"127",1022,"Asynchronous","1.652 Hz",0.3125,11.8298081660032
"128",1022,"Asynchronous","10.4721 Hz",0.3125,7.37052026713354
"129",1022,"Asynchronous","4 Hz",0.5,8.56124273700697
"130",1022,"Synchronous","1.652 Hz",0.5,8.38345733023016
"131",1022,"Synchronous","10.4721 Hz",0.3125,8.97770666411816
"132",1022,"Synchronous","4 Hz",0.3125,8.53591560939821
"133",1023,"Asynchronous","1.652 Hz",0.375,6.17370789542474
"134",1023,"Asynchronous","10.4721 Hz",0.25,5.54889864877623
"135",1023,"Asynchronous","4 Hz",0.625,6.30823024489655
"136",1023,"Synchronous","1.652 Hz",0.375,4.95472883475304
"137",1023,"Synchronous","10.4721 Hz",0.4375,4.97385958123778
"138",1023,"Synchronous","4 Hz",0.5625,6.68359652684012
"139",1024,"Asynchronous","1.652 Hz",0.4375,3.81243876121152
"140",1024,"Asynchronous","10.4721 Hz",0.4375,3.77461967425916
"141",1024,"Asynchronous","4 Hz",0.375,4.56913586289011
"142",1024,"Synchronous","1.652 Hz",0.25,3.88789416200598
"143",1024,"Synchronous","10.4721 Hz",0.25,3.53956846761139
"144",1024,"Synchronous","4 Hz",0.4375,3.64821269125969
